Titulo,Año de estreno - Año finalización,Generos
The Mandalorian,2019– ,"Action, Adventure, Fantasy"
Fear and Loathing in Las Vegas,1998,"Adventure, Comedy, Drama"
Star Trek: Discovery,2017– ,"Action, Adventure, Drama"
Moonfall,2022,"Action, Adventure, Sci-Fi"
Eternos,2021,"Action, Adventure, Fantasy"
S.W.A.T.,2017– ,"Action, Adventure, Crime"
Rick & Morty,2013– ,"Animation, Adventure, Comedy"
Sin Tiempo Para Morir,2021,"Action, Adventure, Thriller"
Avengers: Endgame,2019,"Action, Adventure, Drama"
Sing 2: ¡Ven Y Canta De Nuevo!,2021,"Animation, Adventure, Comedy"
Billy the Kid,2022– ,"Adventure, Drama, Romance"
El proyecto Adam,2022,"Action, Adventure, Comedy"
Lost,2004–2010,"Adventure, Drama, Fantasy"
The King's Man,2021,"Action, Adventure, Thriller"
The Witcher,2019– ,"Action, Adventure, Drama"
Turning Red,2022,"Animation, Adventure, Comedy"
The Stand,2020–2021,"Adventure, Drama, Fantasy"
Barbie,2023,"Adventure, Comedy, Fantasy"
Pirates of the Caribbean: Dead Men Tell No Tales,2017,"Action, Adventure, Fantasy"
Aquaman and the Lost Kingdom,2023,"Action, Adventure, Fantasy"
The Orville,2017– ,"Adventure, Comedy, Drama"
Loki,2021– ,"Action, Adventure, Fantasy"
What If...?,2021– ,"Animation, Action, Adventure"
El Libro de Boba Fett,2021– ,"Action, Adventure, Sci-Fi"
Legacies,2018–2022,"Adventure, Drama, Fantasy"
The Suicide Squad,2021,"Action, Adventure, Comedy"
Star Trek: The Next Generation,1987–1994,"Action, Adventure, Sci-Fi"
Killing Eve,2018–2022,"Action, Adventure, Drama"
Free Guy,2021,"Action, Adventure, Comedy"
Fantastic Beasts: The Crimes of Grindelwald,2018,"Adventure, Family, Fantasy"
Sonic the Hedgehog,2020,"Action, Adventure, Comedy"
Arcane: League of Legends,2021– ,"Animation, Action, Adventure"
Interstellar,2014,"Adventure, Drama, Sci-Fi"
Superman & Lois,2021– ,"Action, Adventure, Drama"
Jurassic Park,1993,"Action, Adventure, Sci-Fi"
Star Wars: The Clone Wars,2008–2020,"Animation, Action, Adventure"
Harry Potter and the Sorcerer's Stone,2001,"Adventure, Family, Fantasy"
Lightyear,2022,"Animation, Action, Adventure"
The Lord of the Rings: The Rings of Power,2022– ,"Action, Adventure, Drama"
Peacemaker,2022– ,"Action, Adventure, Comedy"
Shang-Chi and the Legend of the Ten Rings,2021,"Action, Adventure, Fantasy"
Magnum P.I.,2018–2022,"Action, Adventure, Crime"
Vikings: Valhalla,2022– ,"Action, Adventure, Drama"
Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi"
Demon Slayer: Kimetsu No Yaiba,2019– ,"Animation, Action, Adventure"
Inhumans,2017,"Action, Adventure, Sci-Fi"
The Fifth Element,1997,"Action, Adventure, Sci-Fi"
Charlie and the Chocolate Factory,2005,"Adventure, Comedy, Family"
Star Trek,1966–1969,"Action, Adventure, Sci-Fi"
Hawkeye,2021,"Action, Adventure, Crime"
Zack Snyder's Justice League,2021,"Action, Adventure, Fantasy"
Venom: Let There Be Carnage,2021,"Action, Adventure, Sci-Fi"
Star Wars,1977,"Action, Adventure, Fantasy"
Agents of S.H.I.E.L.D.,2013–2020,"Action, Adventure, Drama"
Fantastic Beasts and Where to Find Them,2016,"Adventure, Family, Fantasy"
Inception,2010,"Action, Adventure, Sci-Fi"
Mission: Impossible - Dead Reckoning - Part One,2023,"Action, Adventure, Thriller"
Pirates of the Caribbean: Dead Man's Chest,2006,"Action, Adventure, Fantasy"
Quantum Leap,1989–1993,"Action, Adventure, Drama"
Thor: Ragnarok,2017,"Action, Adventure, Comedy"
Mad Max: Fury Road,2015,"Action, Adventure, Sci-Fi"
The Wheel of Time,2021– ,"Action, Adventure, Drama"
Star Trek: Deep Space Nine,1993–1999,"Action, Adventure, Drama"
Spider-Man: de regreso a casa,2017,"Action, Adventure, Sci-Fi"
Thor,2011,"Action, Adventure, Fantasy"
Piratas del Caribe: Navegando aguas misteriosas,2011,"Action, Adventure, Fantasy"
Smallville,2001–2017,"Action, Adventure, Drama"
Amphibia,2019–2022,"Animation, Action, Adventure"
Ms. Marvel,2022– ,"Action, Adventure, Comedy"
Stargate SG-1,1997–2007,"Action, Adventure, Drama"
Titanes,I) (2018– ,"Action, Adventure, Crime"
La Cruzada,2022– ,"Adventure, Fantasy, Reality-TV"
Star wars: Episodio I - La amenaza fantasma,1999,"Action, Adventure, Fantasy"
Día de la independencia,1996,"Action, Adventure, Sci-Fi"
El hombre araña,2002,"Action, Adventure, Sci-Fi"
Black Panther: Wakanda Forever,2022,"Action, Adventure, Drama"
Invincible,2021– ,"Animation, Action, Adventure"
Vampire in the Garden,2022– ,"Animation, Action, Adventure"
El señor de los anillos: La comunidad del anillo,2001,"Action, Adventure, Drama"
Once Upon a Time,2011–2018,"Adventure, Fantasy, Romance"
Tenet,2020,"Action, Adventure, Sci-Fi"
Liga de la Justicia,2017,"Action, Adventure, Fantasy"
Piratas del Caribe - En el fin del mundo,2007,"Action, Adventure, Fantasy"
Arrow,2012–2020,"Action, Adventure, Crime"
Los juegos del hambre,2012,"Action, Adventure, Sci-Fi"
Caos: El Inicio,2021,"Action, Adventure, Fantasy"
Bastardos sin gloria,2009,"Adventure, Drama, War"
Guardianes de la galaxia,2014,"Action, Adventure, Comedy"
Fantastic Four,,"Action, Adventure, Sci-Fi"
Untitled Indiana Jones Project,2023,"Action, Adventure"
Black Widow,2021,"Action, Adventure, Sci-Fi"
Deadpool,2016,"Action, Adventure, Comedy"
Gladiador,2000,"Action, Adventure, Drama"
The Owl House,2020– ,"Animation, Action, Adventure"
Los goonies,1985,"Adventure, Comedy, Family"
Viaje a las estrellas: Voyager,1995–2001,"Action, Adventure, Sci-Fi"
Deadpool 2,2018,"Action, Adventure, Comedy"
Bob's Burgers: La Película,2022,"Animation, Adventure, Comedy"
Black Sails,2014–2017,"Action, Adventure, Drama"
Capitana Marvel,2019,"Action, Adventure, Sci-Fi"
Avatar: la leyenda de Aang,2005–2008,"Animation, Action, Adventure"
Los 4 fantásticos,2015,"Action, Adventure, Sci-Fi"
La momia,1999,"Action, Adventure, Fantasy"
"Hulk, el hombre increible",2008,"Action, Adventure, Sci-Fi"
Spider-Man: Un nuevo universo,2018,"Animation, Action, Adventure"
Sombra y hueso,2021– ,"Action, Adventure, Drama"
Star Wars: El ascenso de Skywalker,2019,"Action, Adventure, Fantasy"
Jurassic World: Mundo Jurásico,2015,"Action, Adventure, Sci-Fi"
Star Wars: Episodio II - El ataque de los clones,2002,"Action, Adventure, Fantasy"
Estación Once,2021–2022,"Adventure, Drama, Fantasy"
G.I. Joe: Snake Eyes,2021,"Action, Adventure, Crime"
Dune: Part Two,2023,"Action, Adventure, Drama"
La Leyenda Del Caballero Verde,2021,"Adventure, Drama, Fantasy"
DC's Legends of Tomorrow,2016–2022,"Action, Adventure, Drama"
Los cazadores del arca perdida,1981,"Action, Adventure"
Volver al futuro,1985,"Adventure, Comedy, Sci-Fi"
Spartacus,2010–2013,"Action, Adventure, Biography"
FBI: International,2021– ,"Action, Adventure, Crime"
Guerra de los mundos,2005,"Action, Adventure, Sci-Fi"
La princesa prometida,1987,"Adventure, Family, Fantasy"
Escuadrón Suicida,2016,"Action, Adventure, Fantasy"
Young Justice,2010– ,"Animation, Action, Adventure"
Iron Man: el hombre de hierro,2008,"Action, Adventure, Sci-Fi"
Chip y Dale al rescate,1988–1990,"Animation, Action, Adventure"
Aniquilación,I) (2018,"Adventure, Drama, Horror"
Batman Unburied,2021 Podcast Series,"Short, Adventure, Crime"
Disenchanted,2022,"Animation, Adventure, Comedy"
Expend4bles,,"Action, Adventure, Thriller"
Han Solo: una historia de Star Wars,2018,"Action, Adventure, Sci-Fi"
"E.T., El Extra-Terrestre",1982,"Adventure, Family, Sci-Fi"
Pantera Negra,2018,"Action, Adventure, Sci-Fi"
The Avengers: Los Vengadores,2012,"Action, Adventure, Sci-Fi"
Dunas,1984,"Action, Adventure, Sci-Fi"
007: Casino Royale,2006,"Action, Adventure, Thriller"
Star Wars: El despertar de la fuerza,2015,"Action, Adventure, Sci-Fi"
Wonka,2023,"Adventure, Comedy, Family"
His Dark Materials,2019–2022,"Adventure, Drama, Family"
Jumanji: El siguiente nivel,2019,"Action, Adventure, Comedy"
Star Trek,2009,"Action, Adventure, Sci-Fi"
Rogue One: Una historia de Star Wars,2016,"Action, Adventure, Sci-Fi"
Idiocracy,2006,"Adventure, Comedy, Sci-Fi"
La guerra de las galaxias: Episodio III - La venganza de los Sith,2005,"Action, Adventure, Fantasy"
Jujutsu Kaisen,2020– ,"Animation, Action, Adventure"
El depredador,2018,"Action, Adventure, Sci-Fi"
Star Wars Rebels,2014–2018,"Animation, Action, Adventure"
Avengers: Era de Ultrón,2015,"Action, Adventure, Sci-Fi"
El primer vengador,2011,"Action, Adventure, Sci-Fi"
Los 4 Fantásticos,I) (2005,"Action, Adventure, Fantasy"
El primer vengador: la guerra de los héroes,2016,"Action, Adventure, Sci-Fi"
Spider-Man: Lejos de casa,2019,"Action, Adventure, Sci-Fi"
Cuenta conmigo,1986,"Adventure, Drama"
MacGyver,2016–2021,"Action, Adventure, Drama"
The Terror,2018–2019,"Adventure, Drama, History"
Firefly,2002–2003,"Adventure, Drama, Sci-Fi"
Futurama,1999–2023,"Animation, Adventure, Comedy"
Jurassic World: El reino caído,2018,"Action, Adventure, Sci-Fi"
La laguna azul,1980,"Adventure, Drama, Romance"
Misión Rescate,2015,"Adventure, Drama, Sci-Fi"
"Alien 2, el regreso",1986,"Action, Adventure, Sci-Fi"
Guardians of the Galaxy Vol. 3,2023,"Action, Adventure, Comedy"
El señor de los anillos: El retorno del rey,2003,"Action, Adventure, Drama"
Battle Angel: la última guerrera,2019,"Action, Adventure, Sci-Fi"
Falcon y el soldado del invierno,2021,"Action, Adventure, Drama"
El rey león,1994,"Animation, Adventure, Drama"
Guardianes de la Galaxia Vol. 2,2017,"Action, Adventure, Comedy"
Naruto,2002–2007,"Animation, Action, Adventure"
Cars,2006,"Animation, Adventure, Comedy"
Kingsman: El servicio secreto,2014,"Action, Adventure, Comedy"
Prometeo,I) (2012,"Adventure, Mystery, Sci-Fi"
Ready Player One: comienza el juego,2018,"Action, Adventure, Sci-Fi"
Naruto: Shippûden,2007–2017,"Animation, Action, Adventure"
Luck,I) (2022,"Animation, Adventure, Comedy"
Los guardianes de la bahía,1989–2001,"Action, Adventure, Crime"
"Up, una aventura de altura",2009,"Animation, Adventure, Comedy"
Harry Potter y el cáliz de fuego,2005,"Adventure, Family, Fantasy"
Supergirl,2015–2021,"Action, Adventure, Drama"
Transformers,2007,"Action, Adventure, Sci-Fi"
Cruella,2021,"Adventure, Comedy, Crime"
Tiburón,1975,"Adventure, Thriller"
X-Men,2000,"Action, Adventure, Sci-Fi"
El Sorprendente Hombre-Araña,2012,"Action, Adventure, Sci-Fi"
Dioses de Egipto,2016,"Action, Adventure, Fantasy"
"Remo Williams, sin armas pero mortífero",1985,"Action, Adventure, Comedy"
Casi famosos,2000,"Adventure, Comedy, Drama"
Doom Patrol,2019– ,"Action, Adventure, Comedy"
Star Wars: Episodio VIII: Los Últimos Jedi,2017,"Action, Adventure, Fantasy"
The Nightingale,I) (2018,"Adventure, Drama, Thriller"
My Hero Academia,2016– ,"Animation, Action, Adventure"
El imperio contraataca,1980,"Action, Adventure, Fantasy"
X-Men: Apocalipsis,2016,"Action, Adventure, Sci-Fi"
Venom,2018,"Action, Adventure, Sci-Fi"
"Conan, el bárbaro",1982,"Action, Adventure, Fantasy"
Moana: Un mar de aventuras,I) (2016,"Animation, Adventure, Comedy"
The Flash,2023,"Action, Adventure, Fantasy"
Harry Potter y las reliquias de la muerte 2,2011,"Adventure, Fantasy, Mystery"
Love and Monsters,I) (2020,"Action, Adventure, Comedy"
Jungle Cruise,2021,"Action, Adventure, Comedy"
El regreso del Jedi,1983,"Action, Adventure, Fantasy"
Z. La ciudad perdida,2016,"Adventure, Biography, Drama"
El mundo perdido: Jurassic Park,1997,"Action, Adventure, Sci-Fi"
The Tomorrow War,2021,"Action, Adventure, Drama"
Indiana Jones y la última cruzada,1989,"Action, Adventure"
Misión: Imposible - Repercusión,2018,"Action, Adventure, Thriller"
The Last of Us,2023– ,"Action, Adventure, Drama"
Star Trek sin límites,2016,"Action, Adventure, Sci-Fi"
2001: odisea del espacio,1968,"Adventure, Sci-Fi"
El viaje de Chihiro,2001,"Animation, Adventure, Family"
Depredador,1987,"Action, Adventure, Horror"
Invasión,1997,"Action, Adventure, Sci-Fi"
Marmaduke,2022,"Animation, Adventure, Comedy"
Hunter x Hunter,2011–2014,"Animation, Action, Adventure"
Enterprise,2001–2005,"Action, Adventure, Drama"
Linterna Verde,2011,"Action, Adventure, Sci-Fi"
"¿Dónde estás, hermano?",2000,"Adventure, Comedy, Crime"
Secret Invasion,2022– ,"Action, Adventure, Drama"
Mortal Kombat,2021,"Action, Adventure, Fantasy"
La aventura del Poseidón,1972,"Action, Adventure, Drama"
Stardust: El misterio de la estrella,2007,"Adventure, Family, Fantasy"
Dos bribones tras la esmeralda perdida,1984,"Action, Adventure, Comedy"
Perdidos en el espacio,2018– ,"Adventure, Drama, Family"
Zootopía,2016,"Animation, Adventure, Comedy"
Ratatouille,2007,"Animation, Adventure, Comedy"
"Galáctica, estrella de combate",2004–2009,"Action, Adventure, Drama"
El gran hotel Budapest,2014,"Adventure, Comedy, Crime"
Batman v Superman: El origen de la justicia,2016,"Action, Adventure, Sci-Fi"
La Roca,1996,"Action, Adventure, Thriller"
Doctor Who,1963–1989,"Adventure, Drama, Family"
Minions: Nace un villano,2022,"Animation, Adventure, Comedy"
"El bueno, el malo y el feo",1966,"Adventure, Western"
El hombre araña 3,2007,"Action, Adventure, Sci-Fi"
Divergente,2014,"Action, Adventure, Mystery"
Survivor,2000– ,"Adventure, Game-Show, Reality-TV"
Batman,1989,"Action, Adventure"
Mujer Maravilla,2017,"Action, Adventure, Fantasy"
Magnum,1980–1988,"Action, Adventure, Crime"
Ángeles de Charlie,2019,"Action, Adventure, Comedy"
Los siete magníficos,2016,"Action, Adventure, Western"
Hora de Aventura,2010–2018,"Animation, Action, Adventure"
Scooby-Doo,2002,"Adventure, Comedy, Family"
DC Liga De Súpermascotas,2022,"Animation, Action, Adventure"
Oblivion: El tiempo del olvido,I) (2013,"Action, Adventure, Sci-Fi"
Emergency!,1972–1979,"Action, Adventure, Comedy"
La Bella y la Bestia,I) (2017,"Adventure, Family, Fantasy"
Indiana Jones y el templo de la perdición,1984,"Action, Adventure"
Shrek,2001,"Animation, Adventure, Comedy"
Batgirl,2022,"Action, Adventure, Crime"
The Legend of Vox Machina,2022– ,"Animation, Action, Adventure"
007: Operación Skyfall,2012,"Action, Adventure, Thriller"
Thor: Un mundo oscuro,2013,"Action, Adventure, Fantasy"
Jumanji: En la selva,2017,"Action, Adventure, Comedy"
Revenant: El Renacido,2015,"Action, Adventure, Drama"
Miraculous: Las Aventuras de Ladybug,2015– ,"Animation, Action, Adventure"
Guerra mundial Z,2013,"Action, Adventure, Horror"
JoJo's Bizarre Adventure,2012– ,"Animation, Action, Adventure"
El hombre de acero,2013,"Action, Adventure, Sci-Fi"
The Hobbit: An Unexpected Journey,2012,"Adventure, Fantasy"
Alicia regresa al país de las maravillas,I) (2010,"Adventure, Family, Fantasy"
Las aventuras de Merlín,2008–2012,"Adventure, Drama, Fantasy"
Shin Ultraman,2022,"Action, Adventure, Drama"
Iron Man 3,2013,"Action, Adventure, Sci-Fi"
Kung Fu,2021– ,"Action, Adventure, Drama"
Frozen: Una aventura congelada,I) (2013,"Animation, Adventure, Comedy"
Apocalypto,2006,"Action, Adventure, Drama"
Burbujas,2022,"Animation, Action, Adventure"
La liga extraordinaria,2003,"Action, Adventure, Fantasy"
Al filo del mañana,2014,"Action, Adventure, Sci-Fi"
Gravity Falls: Un verano de misterios,2012–2016,"Animation, Action, Adventure"
El rey león,2019,"Animation, Adventure, Drama"
Fullmetal Alchemist: Brotherhood,2009–2012,"Animation, Action, Adventure"
X-Men: Días del futuro pasado,2014,"Action, Adventure, Sci-Fi"
El sorprendente Hombre Araña 2: la amenaza de Electro,2014,"Action, Adventure, Sci-Fi"
007: Spectre,I) (2015,"Action, Adventure, Thriller"
Kong: la Isla Calavera,2017,"Action, Adventure, Fantasy"
Titanes del Pacífico,2013,"Action, Adventure, Sci-Fi"
Ant-Man and the Wasp: Quantumania,2023,"Action, Adventure, Comedy"
Armageddon,1998,"Action, Adventure, Sci-Fi"
El Protector,2021,"Action, Adventure, Drama"
X-Men: Primera generación,2011,"Action, Adventure, Sci-Fi"
El primer vengador 2: Segunda guerra,2014,"Action, Adventure, Sci-Fi"
The Marvels,2023,"Action, Adventure, Fantasy"
Luca,2021,"Animation, Adventure, Comedy"
Camino salvaje,2007,"Adventure, Biography, Drama"
Toy Story,1995,"Animation, Adventure, Comedy"
El mago de Oz,1939,"Adventure, Family, Fantasy"
Harry Potter y el prisionero de Azkaban,2004,"Adventure, Family, Fantasy"
"Las crónicas de Narnia: El león, la bruja y el ropero",2005,"Adventure, Family, Fantasy"
Sherlock Holmes,2009,"Action, Adventure, Mystery"
Mujer Maravilla 1984,2020,"Action, Adventure, Fantasy"
Harry Potter y la cámara secreta,2002,"Adventure, Family, Fantasy"
Black Clover,2017–2021,"Animation, Action, Adventure"
Bill & Ted salvando el universo,2020,"Adventure, Comedy, Music"
Aladdin,2019,"Adventure, Comedy, Family"
¡Shazam!,2019,"Action, Adventure, Comedy"
Raya y el último dragón,2021,"Animation, Action, Adventure"
Enola Holmes,2020,"Action, Adventure, Crime"
Stargate Atlantis,2004–2009,"Action, Adventure, Drama"
Bloodshot,2020,"Action, Adventure, Sci-Fi"
Apolo 13,I) (1995,"Adventure, Drama, History"
Andor,2022– ,"Action, Adventure, Drama"
El señor de los anillos: Las dos torres,2002,"Action, Adventure, Drama"
Encantada,2007,"Animation, Adventure, Comedy"
Around the World in 80 Days,2021– ,"Adventure, Comedy"
"Willow, en la tierra del encanto",1988,"Action, Adventure, Drama"
The End of the F***ing World,2017–2019,"Adventure, Comedy, Crime"
The Little Mermaid,2023,"Adventure, Family, Fantasy"
El hombre araña 2,2004,"Action, Adventure, Sci-Fi"
Cruzada,2005,"Action, Adventure, Drama"
X-Men: Dark Phoenix,2019,"Action, Adventure, Sci-Fi"
S.O.S. Hay un loco suelto en el espacio,1987,"Adventure, Comedy, Sci-Fi"
Holocausto caníbal,1980,"Adventure, Horror"
Batman,1966–1968,"Action, Adventure, Comedy"
Harley Quinn,2019– ,"Animation, Action, Adventure"
El increíble castillo vagabundo,2004,"Animation, Adventure, Family"
Star Trek: En la oscuridad,2013,"Action, Adventure, Sci-Fi"
Batman: La serie animada,1992–1995,"Animation, Action, Adventure"
Batwoman,2019–2022,"Action, Adventure, Crime"
Intensa Mente,I) (2015,"Animation, Adventure, Comedy"
Iron Man 2,2010,"Action, Adventure, Sci-Fi"
Battleship,2012,"Action, Adventure, Sci-Fi"
Belle,2021,"Animation, Adventure, Drama"
Ant-Man: El hombre hormiga,2015,"Action, Adventure, Comedy"
